alg	k	time	ip	f1
H2	1	190.345040	995881	100
H2	5	450.988500	3124366	100
H2	10	823.994400	5647171	100
H2	20	1613.325950	10622589	100
H2	30	2438.726070	15617093	100
H2	40	3223.611600	20632772	100
H2	50	4054.747130	25676085	99.998902
Simpfer	1	14.008870	14237	100
Simpfer	5	26.425289	36183	100
Simpfer	10	45.346802	63996	100
Simpfer	20	85.807060	152331	100
Simpfer	30	157.349655	286397	100
Simpfer	40	275.019348	470523	100
Simpfer	50	459.007080	716509	100
H2P	1	4.873960	26684	100.000000
H2P	5	7.775750	45524	100.000000
H2P	10	12.769950	72682	99.712644
H2P	20	24.925810	131828	98.479218
H2P	30	40.065980	206757	99.645553
H2P	40	63.145620	307184	95.997234
H2P	50	96.923690	447955	97.620248
SAH	1	1.095530	2548	100.000000
SAH	5	2.643850	10978	100.000000
SAH	10	5.237030	25919	100.000000
SAH	20	12.851540	70279	100.000000
SAH	30	24.685120	138322	99.941691
SAH	40	41.329850	232496	99.988100
SAH	50	65.138560	356643	99.837556
